old_name,new_name,description,scale,reverse_code
O_AesSens,O_1,Value artistic experiences,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
E_Assert,E_1,Assertive,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
N_Depr,N_1,Depressed,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
N_EmoVol,N_2,Feel emotionally volatile,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
O_IntCur,O_2,"Curious, open to new experiences","likert scale from 1 ""not at all"" to 5 ""extremely""",no
C_Org,C_1,Organized,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
A_Rspct,A_1,Resepct others,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
C_Rspnbl,C_2,Responsible,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
A_Cmpn,A_2,Compassionate,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
E_EnerLev,E_2,Energetic,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
satisfaction,satisfaction,How satisfied are you with your life right now?,"likert scale from 1 ""not at all"" to 5 ""extremely""",no